title,duration_seconds,day_of_week,month,views_lifetime,subs_lifetime
Radio Layoffs Hit KNBR (Again) - Damon & Sam Betesh,5306.0,3,10,10666.0,45.0
Analysis: 49ers Lose To Lions In Disastrous Fashion With Brock Purdy Injury | Krueger & Bruce,5234.0,1,11,5617.0,5.0
"49ers Insider Matt Maiocco Talks Trades, QB Controversies, and Previews Tampa Bay",4611.0,1,9,5246.0,13.0
"49ers Analysis: Campbell Is A LOSER, Purdy TERRIBLE Pick, & Deebo Drops 49ers Last Hope",5875.0,4,11,4995.0,9.0
49ers Analysis: Embarrassing Late-Game Loss vs Dolphins Ends With Purdy Pick  | Krueger & Bruce,7007.0,0,11,4814.0,37.0
NFL Deadline LIVE: Will The 49ers Make A BIG Trade - FULL Reaction,14092.0,1,10,4626.0,19.0
49ers Offense & De'Vondre Campbell Quit Thursday Night,3291.0,4,11,4509.0,21.0
"49ers Waive Moody, Admit Defeat On Troubled Kicker",3859.0,3,8,4238.0,23.0
49ers Stun Football World By Beating Rams on TNF,5911.0,4,9,4214.0,3.0
49ers Analysis: How EMBARRASSING Was The (38-10) Loss To The Packers | Krueger & Bruce,6052.0,0,10,4190.0,6.0
49ers State of the Union. Matt Maiocco joins Damon,3708.0,1,11,4188.0,12.0
49ers Analysis: Bills PLOW Past 49ers (35-10) SPOILING Playoff Hopes | Krueger & Bruce,4381.0,0,11,4038.0,8.0
Frustrated with Aiyuk – This Can't Keep Happening. Damon & Lund,4619.0,2,5,3664.0,4.0
Mac Jones to 49ers - NFL Free Agency (Day 3),3201.0,3,2,3538.0,7.0
49ers Analysis: How BAD Was The 49ers (20-17) Loss To The Seahawks | Krueger & Bruce,6035.0,0,10,3466.0,9.0
LIVE Reaction 49ers vs Seahawks - Postgame Show,7228.0,0,8,3449.0,2.0
49ers Should’ve Traded Jauan Jennings a Month Ago,4161.0,4,7,3413.0,10.0
49ers Rookies Report To Training Camp,3262.0,2,6,3409.0,21.0
49ERS ROSTER BOMBSHELL?,4789.0,0,7,3373.0,19.0
49ers Sign Brock Purdy - Damon & Sammy,4844.0,5,4,3283.0,7.0
49ers Survive Saints Thriller! Mac Jones Leads Short-Handed SF,6105.0,0,8,3256.0,4.0
Is Mac Jones Prepared To Lead The 49ers To A Win In New Orleans?,3799.0,4,8,3226.0,10.0
Instant Reaction: Warriors vs Timberwolves - GAME 5 | Postgame Show With Larry Krueger,8412.0,3,4,3183.0,0.0
Want Bill Belichick In SF?,3130.0,1,10,3080.0,5.0
Cowboys Trade Micah Parsons To Packers,2023.0,3,7,3035.0,0.0
What We Learned From 49ers OTAs - McCaffrey Lost A Step? - Cowing Improved - Purdy Locked-In,3713.0,5,4,3034.0,6.0
49ers Report: Brock Purdy Is Seeking TOP Of The Market Money | Krueger & Bruce,5866.0,0,11,3032.0,3.0
49ers Got A Back Up Plan - Damon & Dieter Kurtenbach,3559.0,3,2,2982.0,9.0
"49ers Analysis: Purdy-Kittle Connection, Guerendo Excites & D-Line's 7 Sacks! | Krueger & Bruce",6133.0,0,11,2933.0,2.0
Dan Campbell & the Lions Want Revenge: Can the 49ers Stop Them? | Krueger & Bruce,5976.0,4,11,2889.0,6.0
OFFICIAL: NFL Week 1 IS HERE | Brock Purdy & 49ers vs Seahawks + Top Matchups,3966.0,2,8,2836.0,4.0
Darnold's Rough Night Cost Him Millions,3766.0,1,0,2827.0,11.0
49ers End Season with a Defensive Collapse in Final Game vs. Cardinals | Krueger & Bruce,5534.0,0,0,2823.0,4.0
Jimmy Butler Working For Warriors - Immediate Impact,3627.0,1,1,2789.0,12.0
49ers: Brock Purdy Overcomes TERRIBLE Special Teams In Victory Over Bucs | Krueger & Bruce,5909.0,0,10,2775.0,3.0
49ers Are 3-0… WITH BACKUPS EVERYWHERE!,6226.0,0,8,2771.0,1.0
49ers Getting Better By The Minute - Damon & Steph Sanchez,2998.0,2,5,2760.0,7.0
Are You Kidding Me?! Purdy Might Miss Weeks?,3638.0,3,8,2749.0,9.0
49ers Stomped In Green Bay,2508.0,0,10,2729.0,8.0
49ers (4-1) Shock Rams in OT!,5810.0,5,9,2708.0,6.0
49ers Rethink The Franchise,3678.0,3,0,2704.0,3.0
Brock Purdy Bring Out The Dumbest In Sports Media - Damon & Sammy,5990.0,3,4,2702.0,6.0
49ers Super Bowl Window Is Alive & Well - Damon & Sammy,5556.0,3,4,2665.0,10.0
49ers - Saints: Can Mac Jones Lead SF To Victory Without Brock Purdy?,4961.0,4,8,2622.0,0.0
49ers Rookie Class Already Making Noise in Santa Clara,3890.0,1,6,2580.0,17.0
49ers Offseason - Who Stays? Who's Out?,4012.0,1,0,2577.0,3.0
"Falcons Loaded, 49ers Limping — But Don’t Count San Francisco Out",3115.0,5,9,2564.0,1.0
Brock Purdy: Biggest Contract In 49ers History - Full Breakdown | Krueger & Bruce,6502.0,6,4,2534.0,2.0
49ers Hop Right Back Into The Game Of The Week!,5610.0,0,9,2533.0,5.0
Warriors Lose Looney - Bonta Hill joins Damon,3390.0,2,6,2532.0,1.0
49ers Analysis: How The 49ers Improved Their Offense & Defense In The Draft...,4506.0,0,3,2524.0,2.0
Ex-NFL Assistant Makes Bold Prediction About 49ers Kyle Shanahan’s Legacy | Krueger & Bruce,5927.0,2,0,2504.0,2.0
Why the 2025 49ers Should Get You Excited,3925.0,3,4,2492.0,8.0
49ers Still Headed for 4-0 vs Jaguars Despite Bosa Injury News,4214.0,2,8,2481.0,1.0
49ers Blow Game (Possibly Season) vs. Seattle,3029.0,0,10,2468.0,6.0
"49ers vs. Rams - ""Must Win"" For San Francisco",3185.0,3,11,2422.0,9.0
49ers OTA's Open Today,3091.0,1,4,2382.0,7.0
FIRST Preview: 49ers vs Bills - Can The 49ers Win In Freezing COLD? | Krueger & Bruce,5308.0,2,10,2373.0,3.0
The 49ers Are READY for 2025!,6505.0,4,6,2365.0,10.0
"49ers Rookies That SHINED, Bryce Huff and New Faces + Brock Purdy | Krueger & Bruce",6476.0,4,5,2337.0,6.0
49ers Players See Stock Rise After Trip To Vegas,4316.0,0,7,2303.0,18.0
The First 53 49ers On The Field,4538.0,1,7,2284.0,10.0
NFL'S Week One Is Here! 49ers vs. Seattle,3830.0,1,8,2265.0,6.0
49ers Head To Tampa For BIGGEST GAME of Week Six,5715.0,4,9,2239.0,1.0
49ers vs Cardinals - What Will We Learn In The Season FINALE | Krueger & Bruce,5904.0,4,0,2238.0,4.0
"48 Hour 'Till 49ers Season Begins, or Ends",2368.0,1,11,2237.0,8.0
49ers Aren’t Waiting — D-Line Help Is On the Way,4074.0,2,9,2229.0,9.0
Bosa Knew The 49ers Had A Problem.,2035.0,2,11,2224.0,2.0
NFL Wild Card Weekend  & 49ers Brock Purdy—What Truly Matters in a QB? | Krueger & Bruce,5591.0,0,0,2218.0,2.0
The Championship Round Is Set - What Can The 49ers Learn From The Winners?,7977.0,0,0,2204.0,2.0
Ricky Pearsall Is HUGE / BAD Bosa News Drops,3957.0,0,8,2187.0,5.0
"Cardinals Are Next, Christian McCaffrey's Favorite!",3959.0,5,8,2183.0,2.0
Has 49ers Extreme Make Over Gone Too Far?,2816.0,0,2,2176.0,8.0
49ers Can’t Replace Nick Bosa… But Here’s What They Must Do,2654.0,2,8,2175.0,4.0
49ers - Lions Game Day Preview - Who Will Win? | Krueger & Bruce,5979.0,0,11,2167.0,1.0
Warriors Secure 7th Seed vs. Rockets - Warriors Weekly,3119.0,2,3,2120.0,5.0
49ers Mandatory Camp Is Go Time!,3681.0,1,5,2101.0,8.0
"What We Learned From 49ers' Joint Practice: Purdy to Kittle is MONEY, Trent-Less O-Line Struggles",5621.0,5,7,2101.0,3.0
Shanahan & Lynch Begin 49ers Training Camp,3201.0,1,6,2082.0,7.0
A Recharged Kyle Shanahan Is Bad News for the NFL,6360.0,4,6,2074.0,3.0
When Kyle Shanahan Dropped the Truth,6507.0,3,7,2073.0,4.0
Former 49ers QB Career Could Be Finished,2901.0,0,2,2064.0,4.0
The 49ers Move On From Nick Sorensen – Who Will Replace Him? | Krueger & Bruce,2858.0,2,0,2060.0,2.0
49ers RUNNING Around Their Biggest Issue,3511.0,3,9,2057.0,2.0
49ers Dance With Seattle (Again),5133.0,2,10,2056.0,9.0
BREAKING: 49ers SIGN Marquez Valdez-Scantling,5676.0,2,7,2050.0,2.0
Brock Purdy Can Feel Mac Jones in His Rearview…,6209.0,3,8,2009.0,-2.0
Cowboys Doc on Netflix Accidentally Turned Into 49ers Nostalgia,3063.0,2,7,1982.0,2.0
Warriors Survive Game 7 in Houston,2882.0,1,4,1963.0,2.0
PREDICTION: Can The 49ers Stay Alive And Beat The Rams? | Krueger & Bruce,5914.0,3,11,1928.0,3.0
Warriors All But Dead After GM4 Loss,2948.0,1,4,1916.0,12.0
49ers Update: Insider Says Brock Purdy Wants Dak Prescott Money – 60 Million?!,4812.0,4,2,1915.0,2.0
How The 49ers Should Start Rebuilding For Their 2025 Season... | Krueger & Bruce,5450.0,4,0,1914.0,0.0
Ugly 49ers Preseason Loss Raises Big Questions,5520.0,0,7,1913.0,7.0
49ers News: Purdy's Connection With Cowing & Pearsall - Big Trust In Brendel? - Mac Jones and More!,5997.0,5,5,1912.0,2.0
49ers Improve Major Weakness,3382.0,2,2,1908.0,2.0
Will The 49ers BEAT The Bears And Keep The Season Alive | Krueger & Bruce,5192.0,4,11,1893.0,0.0
49ers 2025 Schedule - The Final Puzzle Piece of 2025,2757.0,2,4,1886.0,4.0
FIRST Preview: 49ers vs Bears - Can Brock Purdy Out Duel The Chosen One | Krueger & Bruce,4623.0,2,11,1881.0,0.0
49ers WR Jauan Jennings Wants A New Deal - I Don't Blame Him,3444.0,1,6,1879.0,5.0
49ers Enter 2025 A Better Football Team - Guy Haberman join Damon,4251.0,1,4,1866.0,6.0
The Warriors Got Vibes,3171.0,2,1,1862.0,9.0
49ers Roll Into LA — Deep in the Depth Chart,3866.0,2,9,1854.0,2.0
Rivalry Uniforms Drop - What Did We Learn From Preseason? Damon & Sammy,5120.0,3,7,1852.0,0.0
49ers Shocking Draft Rumor at #11,3484.0,2,3,1852.0,5.0
ADVERSITY: Can The 49ers Win WITHOUT Brock Purdy And Key 49ers? | Krueger & Bruce,4926.0,5,10,1843.0,2.0
49ers Re-sign Their Leadership Core,2734.0,1,4,1841.0,5.0
The Skyy Moore Trade Left Me Disappointed in the 49ers - Damon & Sammy,5778.0,3,7,1840.0,0.0
"NFL Draft Trade Rumors: The Ripple Effect On The 49ers - Sanders, Warren, and More!",4385.0,5,3,1838.0,0.0
Full Pads Monday: 49ers Camp Is About to Get VIOLENT,3698.0,5,6,1826.0,1.0
NFL Source Skeptical of 49ers Extending Brock Purdy - Damon & Sammy,7150.0,3,3,1821.0,1.0
Brock Purdy Is 49ers to the Core - Damon & Sammy,5551.0,4,6,1812.0,4.0
Warriors In Critical GM 4 vs. Timberwolves,2977.0,1,4,1803.0,6.0
"Big Dreams, Raw Rookies: 49ers Walking a Fine Line in 2025",3226.0,0,7,1801.0,3.0
49ers Underdogs For First Time in 2024,3773.0,1,10,1799.0,3.0
Terrible End To Terrible 49ers Season,2444.0,0,0,1790.0,0.0
49ers Aren't As Bad As You Think - Merry Christmas,3812.0,3,11,1774.0,3.0
Purdy May Be Ready For Jacksonville,7040.0,3,8,1769.0,2.0
Round 2: Shanahan & Saleh — But For How Long,6043.0,1,7,1764.0,7.0
49ers Aftermath - How Far Can They Go Without Fred Warner?,4026.0,1,9,1760.0,2.0
The Eagles Super Bowl Blueprint – What the 49ers MUST Learn to Win It All!,5745.0,0,1,1760.0,3.0
"For Once, the Football Gods Are on the 49ers’ Side",3621.0,0,9,1756.0,4.0
49ers Season On The Brink,5190.0,3,10,1750.0,2.0
